season,team,rpi
2003,Bham Southern ,0.490
2003,E Illinois ,0.490
2003,Monmouth ,0.489
2003,Quinnipiac ,0.489
2003,La Salle ,0.489
2003,Washington ,0.489
2003,New Orleans ,0.487
2003,Winthrop ,0.487
2003,Marist ,0.486
2003,S Mississippi ,0.486
2003,Texas State ,0.484
2003,Florida A&M ,0.483
2003,Central Conn ,0.482
2003,Jksnville St ,0.481
2003,Samford ,0.481
2003,McNeese St ,0.480
2003,Bradley ,0.479
2003,Binghamton ,0.479
2003,Bucknell ,0.478
2003,Marshall ,0.478
2003,Miami (FL) ,0.478
2003,Boise State ,0.478
2003,Hampton ,0.477
2003,Cal Poly ,0.476
2003,Old Dominion ,0.475
2003,GA Southern ,0.475
2003,Wofford ,0.475
2003,Harvard ,0.474
2003,N Arizona ,0.474
2003,New Mexico ,0.473
2003,Lehigh ,0.472
2003,TX Christian ,0.472
2003,Northeastrn ,0.471
2003,Pacific ,0.471
2003,TN Martin ,0.470
2003,Montana ,0.470
2003,VA Tech ,0.470
2003,E Michigan ,0.469
2003,Charl South ,0.469
2003,Oakland ,0.469
2003,St Fran (PA) ,0.468
2003,Cal St Nrdge ,0.468
2003,St Fran (NY) ,0.468
2003,Santa Clara ,0.468
2003,U Mass ,0.466
2003,Georgia St ,0.466
2003,Rider ,0.465
2003,Elon ,0.465
2003,Northwestern ,0.465
2003,St Peters ,0.465
2003,Coppin State ,0.464
2003,Alabama St ,0.464
2003,Maine ,0.463
2003,Colgate ,0.463
2003,Penn State ,0.463
2003,Houston ,0.462
2003,Miss Val St ,0.461
2003,Illinois St ,0.461
2003,Jacksonville ,0.460
2003,F Dickinson ,0.460
2003,Lamar ,0.459
2003,North Texas ,0.459
2003,Arkansas St ,0.458
2003,Coastal Car ,0.458
2003,N Iowa ,0.458
2003,Montana St ,0.457
2003,Duquesne ,0.456
2003,Portland ,0.456
2003,Sac State ,0.456
2003,James Mad ,0.456
2003,Idaho ,0.456
2003,Lafayette ,0.455
2003,Canisius ,0.455
2003,TX-San Ant ,0.454
2003,Furman ,0.454
2003,TX Southern ,0.453
2003,LA Monroe ,0.451
2003,TX A&M-CC ,0.451
2003,Loyola Mymt ,0.449
2003,Centenary ,0.449
2003,Hofstra ,0.446
2003,SE Louisiana ,0.446
2003,WI-Grn Bay ,0.445
2003,Howard ,0.443
2003,Wash State ,0.443
2003,Jackson St ,0.442
2003,Wright State ,0.441
2003,LIU-Brooklyn ,0.440
2003,VA Military ,0.440
2003,Indiana St ,0.438
2003,Drake ,0.438
2003,Liberty ,0.438
2003,Wm & Mary ,0.438
2003,UMKC ,0.435
2003,Alcorn State ,0.435
2003,CS Fullerton ,0.434
2003,Cleveland St ,0.434
2003,Grambling St ,0.434
2003,Stony Brook ,0.433
2003,SE Missouri ,0.433
2003,IPFW ,0.429
2003,Florida Intl ,0.428
2003,Rob Morris ,0.427
2003,Mt St Marys ,0.427
2003,Radford ,0.426
2003,Norfolk St ,0.425
2003,E Kentucky ,0.422
2003,Fordham ,0.421
2003,Cornell ,0.421
2003,W Carolina ,0.421
2003,San Jose St ,0.419
2003,Youngs St ,0.419
2003,S Utah ,0.419
2003,Dartmouth ,0.418
2003,Fla Atlantic ,0.415
2003,UC Riverside ,0.415
2003,NC-Grnsboro ,0.414
2003,Navy ,0.412
2003,Sacred Hrt ,0.411
2003,Albany ,0.408
2003,Stetson ,0.402
2003,NW State ,0.402
2003,Portland St ,0.400
2003,Gard-Webb ,0.399
2003,Citadel ,0.398
2003,N Hampshire ,0.396
2003,Loyola-MD ,0.396
2003,W Illinois ,0.395
2003,Maryland BC ,0.394
2003,TX-Pan Am ,0.392
2003,Beth-Cook ,0.390
2003,Buffalo ,0.386
2003,Ark Pine Bl ,0.384
2003,TX El Paso ,0.383
2003,High Point ,0.380
2003,Lg Beach St ,0.377
2003,Army ,0.372
2003,Nicholls St ,0.366
2003,Chicago St ,0.366
2003,Towson ,0.365
2003,Alab A&M ,0.362
2003,Morgan St ,0.360
2003,Lipscomb ,0.359
2003,Maryland ES ,0.356
2003,NC A&T ,0.355
2003,Columbia ,0.352
2003,Campbell ,0.351
2003,TN State ,0.350
2003,Savannah St ,0.349
2003,Southern ,0.346
2004,Duke ,0.670
2004,St Josephs ,0.668
2004,Kentucky ,0.661
2004,Miss State ,0.646
2004,Stanford ,0.637
2004,Pittsburgh ,0.636
2004,Oklahoma St ,0.636
2004,Gonzaga ,0.635
2004,Wisconsin ,0.631
2004,Texas ,0.628
2004,Cincinnati ,0.626
2004,NC State ,0.625
2004,Syracuse ,0.623
2004,N Carolina ,0.622
2004,Wake Forest ,0.621
2004,GA Tech ,0.621
2004,BYU ,0.620
2004,Providence ,0.619
2004,Seton Hall ,0.617
2004,Illinois ,0.616
2004,Memphis ,0.615
2004,Florida ,0.615
2004,Louisville ,0.613
2004,S Illinois ,0.611
2004,Alabama ,0.609
2004,Boston Col ,0.608
2004,Charlotte ,0.604
2004,Texas Tech ,0.600
2004,Vanderbilt ,0.600
2004,Utah State ,0.599
2004,UAB ,0.598
2004,LSU ,0.593
2004,Arizona ,0.588
2004,Maryland ,0.587
2004,Dayton ,0.586
2004,Manhattan ,0.585
2004,W Michigan ,0.585
2004,Utah ,0.584
2004,Michigan St ,0.584
2004,Air Force ,0.584
2004,Richmond ,0.583
2004,Missouri ,0.582
2004,DePaul ,0.582
2004,S Carolina ,0.579
2004,Rutgers ,0.578
2004,Xavier ,0.576
2004,VCU ,0.576
2004,Florida St ,0.575
2004,Colorado ,0.575
2004,Murray St ,0.575
2004,Central FL ,0.573
2004,LA Lafayette ,0.573
2004,E Tenn St ,0.572
2004,Oklahoma ,0.571
2004,Notre Dame ,0.570
2004,Troy ,0.569
2004,N Iowa ,0.566
2004,Georgia ,0.563
2004,WI-Milwkee ,0.563
2004,Virginia ,0.563
2004,Michigan ,0.562
2004,Iowa State ,0.560
2004,Washington ,0.560
2004,Geo Wshgtn ,0.560
2004,Wichita St ,0.559
2004,Geo Mason ,0.559
2004,Creighton ,0.558
2004,Saint Louis ,0.558
2004,Rhode Island ,0.558
2004,Marquette ,0.557
2004,Iowa ,0.556
2004,Austin Peay ,0.556
2004,Kent State ,0.556
2004,Villanova ,0.553
2004,Belmont ,0.552
2004,Tennessee ,0.550
2004,Boston U ,0.548
2004,IL-Chicago ,0.546
2004,Temple ,0.544
2004,Auburn ,0.542
2004,Missouri St ,0.541
2004,Col Charlestn ,0.541
2004,Indiana ,0.539
2004,Miami (OH) ,0.539
2004,Oregon ,0.538
2004,Nebraska ,0.538
2004,Niagara ,0.537
2004,Drexel ,0.537
2004,Monmouth ,0.535
2004,Northwestern ,0.533
2004,St Peters ,0.533
2004,W Virginia ,0.533
2004,Old Dominion ,0.533
2004,Purdue ,0.532
2004,Davidson ,0.532
2004,St Marys ,0.531
2004,Detroit ,0.530
2004,Mississippi ,0.528
2004,Clemson ,0.527
2004,USC ,0.527
2004,Georgia St ,0.526
2004,Fairfield ,0.524
2004,Miss Val St ,0.524
2004,California ,0.524
2004,E Washingtn ,0.523
2004,S Mississippi ,0.523
2004,Chattanooga ,0.523
2004,San Fransco ,0.523
2004,New Orleans ,0.523
2004,Princeton ,0.522
2004,Kansas St ,0.520
2004,U Penn ,0.519
2004,Delaware ,0.517
2004,Hofstra ,0.517
2004,Pepperdine ,0.516
2004,Middle Tenn ,0.516
2004,VA Tech ,0.516
2004,GA Southern ,0.515
2004,Buffalo ,0.514
2004,WI-Grn Bay ,0.514
2004,NC-Wilmgton ,0.514
2004,Arkansas ,0.514
2004,IUPUI ,0.512
2004,Lafayette ,0.510
2004,San Diego St ,0.510
2004,Colorado St ,0.509
2004,SE Louisiana ,0.507
2004,Northeastrn ,0.507
2004,W Kentucky ,0.506
2004,UCSB ,0.505
2004,Ball State ,0.503
2004,TX Christian ,0.502
2004,American ,0.502
2004,Bham Southern ,0.502
2004,UCLA ,0.501
2004,Maine ,0.501
2004,Ste F Austin ,0.500
2004,Wash State ,0.500
2004,Georgetown ,0.499
2004,Oral Roberts ,0.498
2004,Valparaiso ,0.498
2004,F Dickinson ,0.498
2004,Wyoming ,0.498
2004,Bradley ,0.497
2004,Marshall ,0.496
2004,Ohio State ,0.496
2004,TX A&M-CC ,0.495
2004,Santa Clara ,0.494
2004,Wright State ,0.493
2004,Centenary ,0.493
2004,Denver ,0.493
2004,Liberty ,0.493
2004,E Carolina ,0.492
2004,Morehead St ,0.492
2004,Idaho ,0.491
2004,Rider ,0.490
2004,New Mexico ,0.489
2004,Butler ,0.489
2004,Arkansas St ,0.487
2004,Siena ,0.486
2004,U Mass ,0.486
2004,TX-Arlington ,0.485
2004,Furman ,0.484
2004,Lehigh ,0.484
2004,Loyola Mymt ,0.483
2004,AR Lit Rock ,0.483
2004,La Salle ,0.482
2004,Drake ,0.481
2004,S Alabama ,0.479
2004,Brown ,0.479
2004,Akron ,0.479
2004,St Johns ,0.478
2004,Chicago St ,0.478
2004,Penn State ,0.478
2004,Duquesne ,0.477
2004,N Mex State ,0.477
2004,S Car State ,0.477
2004,UMKC ,0.476
2004,Binghamton ,0.476
2004,Oregon St ,0.476
2004,Bucknell ,0.474
2004,TX-Pan Am ,0.474
2004,Iona ,0.474
2004,Rob Morris ,0.473
2004,Central Conn ,0.473
2004,Arizona St ,0.473
2004,Minnesota ,0.472
2004,High Point ,0.472
2004,Miami (FL) ,0.471
2004,Illinois St ,0.470
2004,Winthrop ,0.470
2004,Mercer ,0.469
2004,Yale ,0.467
2004,Wagner ,0.467
2004,Loyola-Chi ,0.466
2004,Bowling Grn ,0.466
2004,Houston ,0.466
2004,N Arizona ,0.465
2004,Tulane ,0.465
2004,Holy Cross ,0.464
2004,Fordham ,0.464
2004,E Kentucky ,0.463
2004,St Bonavent ,0.463
2004,Delaware St ,0.461
2004,Coppin State ,0.460
2004,Colgate ,0.460
2004,St Fran (NY) ,0.460
2004,North Texas ,0.460
2004,UC Irvine ,0.459
2004,Baylor ,0.459
2004,Stetson ,0.459
2004,St Fran (PA) ,0.459
2004,Idaho State ,0.459
2004,Hartford ,0.457
2004,TN Tech ,0.457
2004,Cal St Nrdge ,0.457
2004,Oakland ,0.457
2004,TX-San Ant ,0.456
2004,Cal Poly ,0.456
2004,App State ,0.456
2004,Evansville ,0.455
2004,Canisius ,0.455
2004,Indiana St ,0.453
2004,W Carolina ,0.452
2004,E Michigan ,0.452
2004,CS Fullerton ,0.451
2004,S Florida ,0.451
2004,Sacred Hrt ,0.451
2004,UC Riverside ,0.451
2004,Ohio ,0.450
2004,Samford ,0.450
2004,Jacksonville ,0.447
2004,Jksnville St ,0.447
2004,Texas A&M ,0.445
2004,NC-Grnsboro ,0.443
2004,Montana St ,0.442
2004,Sac State ,0.442
2004,Mt St Marys ,0.441
2004,Elon ,0.441
2004,Montana ,0.441
2004,Coastal Car ,0.441
2004,S Utah ,0.441
2004,TX Southern ,0.441
2004,TN Martin ,0.439
2004,Portland St ,0.439
2004,LA Monroe ,0.439
2004,Hampton ,0.438
2004,NC-Asheville ,0.437
2004,Cornell ,0.436
2004,McNeese St ,0.435
2004,Youngs St ,0.434
2004,Stony Brook ,0.433
2004,Jackson St ,0.433
2004,Wofford ,0.432
2004,SE Missouri ,0.431
2004,N Hampshire ,0.431
2004,NW State ,0.431
2004,Sam Hous St ,0.430
2004,Texas State ,0.430
2004,Wm & Mary ,0.429
2004,Grambling St ,0.426
2004,Morgan St ,0.426
2004,Columbia ,0.424
2004,Alab A&M ,0.422
2004,Gard-Webb ,0.421
2004,Towson ,0.421
2004,Alcorn State ,0.418
2004,N Illinois ,0.417
2004,Florida A&M ,0.417
2004,Southern ,0.416
2004,TN State ,0.416
2004,Maryland BC ,0.413
2004,James Mad ,0.411
2004,Central Mich ,0.411
2004,Radford ,0.411
2004,Fla Atlantic ,0.409
2004,Marist ,0.407
2004,LIU-Brooklyn ,0.406
2004,Cleveland St ,0.400
2004,San Diego ,0.400
2004,Prairie View ,0.400
2004,Savannah St ,0.400
2004,Lamar ,0.399
2004,Lipscomb ,0.399
2004,Lg Beach St ,0.396
2004,Citadel ,0.396
2004,IPFW ,0.396
2004,Harvard ,0.395
2004,Quinnipiac ,0.393
2004,Albany ,0.391
2004,Norfolk St ,0.389
2004,Navy ,0.383
2004,E Illinois ,0.377
2004,Maryland ES ,0.376
2004,Beth-Cook ,0.374
2004,Charl South ,0.372
2004,Florida Intl ,0.371
2004,W Illinois ,0.371
2004,VA Military ,0.370
2004,Army ,0.368
2004,Campbell ,0.365
2004,Howard ,0.364
2004,Loyola-MD ,0.356
2004,NC A&T ,0.349
2004,Dartmouth ,0.347
2004,Ark Pine Bl ,0.346
2004,Nicholls St ,0.340
2004,Connecticut ,0.300
2004,Kansas ,0.300
2004,Nevada ,0.300
2004,TX El Paso ,0.300
2004,Boise State ,0.300
2004,Rice ,0.300
2004,Pacific ,0.300
2004,UNLV ,0.300
2004,Hawaii ,0.300
2004,Toledo ,0.300
2004,Fresno St ,0.300
2004,LA Tech ,0.300
2004,S Methodist ,0.300
2004,Vermont ,0.300
2004,Portland ,0.300
2004,Tulsa ,0.300
2004,Weber State ,0.300
2004,San Jose St ,0.300
2004,Alabama St ,0.300
2004,UC Davis ,0.300
2005,Kansas ,0.677
2005,N Carolina ,0.667
2005,Wake Forest ,0.665
2005,Illinois ,0.663
2005,Duke ,0.657
2005,Oklahoma St ,0.651
2005,Washington ,0.650
2005,Boston Col ,0.649
2005,Arizona ,0.644
2005,Kentucky ,0.639
2005,Gonzaga ,0.637
2005,Connecticut ,0.630
2005,Villanova ,0.629
2005,Oklahoma ,0.628
2005,Alabama ,0.627
2005,Wisconsin ,0.623
2005,S Illinois ,0.622
2005,Louisville ,0.619
2005,Michigan St ,0.618
2005,Cincinnati ,0.617
2005,Syracuse ,0.609
2005,Pacific ,0.607
2005,LSU ,0.607
2005,Utah ,0.606
2005,Florida ,0.602
2005,Nevada ,0.599
2005,Vermont ,0.597
2005,Miss State ,0.594
2005,Charlotte ,0.593
2005,Texas ,0.591
2005,St Marys ,0.591
2005,UCLA ,0.590
2005,Pittsburgh ,0.586
2005,GA Tech ,0.585
2005,Texas Tech ,0.585
2005,Miami (OH) ,0.584
2005,Stanford ,0.583
2005,N Iowa ,0.582
2005,Old Dominion ,0.581
2005,Minnesota ,0.579
2005,Iowa ,0.578
2005,Creighton ,0.578
2005,Wichita St ,0.576
2005,TX El Paso ,0.575
2005,Ohio State ,0.574
2005,Maryland ,0.574
2005,DePaul ,0.573
2005,LA Lafayette ,0.573
2005,Buffalo ,0.572
2005,W Virginia ,0.572
2005,Indiana ,0.571
2005,WI-Milwkee ,0.568
2005,Kent State ,0.568
2005,Iowa State ,0.568
2005,Missouri St ,0.567
2005,U Penn ,0.566
2005,Vanderbilt ,0.566
2005,Miami (FL) ,0.565
2005,Texas A&M ,0.565
2005,Northeastrn ,0.565
2005,UAB ,0.565
2005,Holy Cross ,0.565
2005,Rice ,0.564
2005,Akron ,0.564
2005,Arizona St ,0.559
2005,Notre Dame ,0.557
2005,Oregon ,0.556
2005,Georgetown ,0.556
2005,S Carolina ,0.555
2005,Geo Wshgtn ,0.555
2005,Missouri ,0.554
2005,W Kentucky ,0.554
2005,NC State ,0.553
2005,Utah State ,0.553
2005,Hofstra ,0.553
2005,Davidson ,0.552
2005,Houston ,0.552
2005,Boston U ,0.552
2005,Bucknell ,0.551
2005,AR Lit Rock ,0.551
2005,VCU ,0.551
2005,Virginia ,0.551
2005,Winthrop ,0.551
2005,Ohio ,0.551
2005,St Josephs ,0.550
2005,Marquette ,0.549
2005,Drexel ,0.549
2005,New Mexico ,0.549
2005,Arkansas ,0.548
2005,San Fransco ,0.547
2005,Wash State ,0.546
2005,TX Christian ,0.545
2005,Providence ,0.543
2005,Clemson ,0.543
2005,Toledo ,0.542
2005,Denver ,0.539
2005,Oral Roberts ,0.539
2005,Niagara ,0.539
2005,Nebraska ,0.538
2005,UNLV ,0.538
2005,Air Force ,0.538
2005,Temple ,0.538
2005,NC-Wilmgton ,0.538
2005,W Michigan ,0.537
2005,Kansas St ,0.536
2005,Bowling Grn ,0.536
2005,Colorado ,0.535
2005,VA Tech ,0.534
2005,Oregon St ,0.532
2005,Wyoming ,0.530
2005,Tennessee ,0.529
2005,Central FL ,0.529
2005,Dayton ,0.528
2005,CS Fullerton ,0.526
2005,Ball State ,0.526
2005,Cal St Nrdge ,0.526
2005,Memphis ,0.525
2005,USC ,0.524
2005,Pepperdine ,0.522
2005,Middle Tenn ,0.522
2005,San Diego ,0.522
2005,Florida St ,0.522
2005,California ,0.522
2005,Illinois St ,0.522
2005,Seton Hall ,0.522
2005,Princeton ,0.522
2005,Xavier ,0.521
2005,Rider ,0.521
2005,E Kentucky ,0.521
2005,NW State ,0.520
2005,Hawaii ,0.520
2005,Northwestern ,0.518
2005,U Mass ,0.518
2005,Santa Clara ,0.516
2005,Chattanooga ,0.516
2005,Rutgers ,0.516
2005,LA Tech ,0.513
2005,NC-Grnsboro ,0.513
2005,S Methodist ,0.513
2005,Auburn ,0.513
2005,Richmond ,0.511
2005,SE Louisiana ,0.510
2005,Bradley ,0.510
2005,Murray St ,0.509
2005,Mississippi ,0.509
2005,American ,0.509
2005,Drake ,0.509
2005,Coppin State ,0.509
2005,WI-Grn Bay ,0.508
2005,Fresno St ,0.508
2005,Michigan ,0.508
2005,Portland ,0.507
2005,Col Charlestn ,0.507
2005,Geo Mason ,0.507
2005,Delaware St ,0.505
2005,IL-Chicago ,0.501
2005,Gard-Webb ,0.501
2005,Montana ,0.500
2005,Sam Hous St ,0.498
2005,Georgia St ,0.498
2005,St Johns ,0.496
2005,Arkansas St ,0.496
2005,TN State ,0.496
2005,Lamar ,0.496
2005,St Peters ,0.495
2005,TN Tech ,0.494
2005,IUPUI ,0.493
2005,Loyola Mymt ,0.492
2005,F Dickinson ,0.492
2005,TX A&M-CC ,0.491
2005,Wright State ,0.491
2005,Maine ,0.491
2005,UMKC ,0.490
2005,Purdue ,0.490
2005,Detroit ,0.489
2005,Portland St ,0.488
2005,UC Irvine ,0.487
2005,Florida Intl ,0.487
2005,Saint Louis ,0.487
2005,N Illinois ,0.486
2005,App State ,0.486
2005,Fairfield ,0.486
2005,Binghamton ,0.485
2005,Hampton ,0.484
2005,S Florida ,0.484
2005,GA Southern ,0.483
2005,Fordham ,0.483
2005,Yale ,0.483
2005,E Carolina ,0.482
2005,Oakland ,0.482
2005,Manhattan ,0.482
2005,Valparaiso ,0.481
2005,Iona ,0.480
2005,Monmouth ,0.480
2005,Harvard ,0.479
2005,Albany ,0.479
2005,North Texas ,0.479
2005,Furman ,0.478
2005,Indiana St ,0.477
2005,Bham Southern ,0.477
2005,San Diego St ,0.477
2005,Belmont ,0.477
2005,New Orleans ,0.475
2005,SE Missouri ,0.475
2005,St Fran (PA) ,0.474
2005,Mercer ,0.474
2005,TX-San Ant ,0.474
2005,Loyola-Chi ,0.474
2005,Georgia ,0.473
2005,Cornell ,0.473
2005,Austin Peay ,0.472
2005,La Salle ,0.472
2005,S Car State ,0.471
2005,Florida A&M ,0.470
2005,Lipscomb ,0.467
2005,BYU ,0.466
2005,Penn State ,0.465
2005,Evansville ,0.465
2005,Jacksonville ,0.464
2005,Troy ,0.463
2005,Wagner ,0.463
2005,UCSB ,0.463
2005,Liberty ,0.463
2005,Rob Morris ,0.462
2005,Weber State ,0.461
2005,Samford ,0.460
2005,Wofford ,0.459
2005,Brown ,0.459
2005,Fla Atlantic ,0.458
2005,Charl South ,0.458
2005,Delaware ,0.458
2005,Boise State ,0.457
2005,Stony Brook ,0.457
2005,LIU-Brooklyn ,0.455
2005,Marshall ,0.454
2005,Grambling St ,0.454
2005,Utah Val St ,0.454
2005,Central Mich ,0.452
2005,Lehigh ,0.452
2005,Colgate ,0.451
2005,S Mississippi ,0.451
2005,Tulsa ,0.451
2005,Tulane ,0.450
2005,Butler ,0.450
2005,Miss Val St ,0.449
2005,McNeese St ,0.449
2005,Colorado St ,0.448
2005,S Alabama ,0.447
2005,UC Davis ,0.446
2005,Baylor ,0.446
2005,NC-Asheville ,0.445
2005,Alab A&M ,0.445
2005,Central Conn ,0.444
2005,Marist ,0.444
2005,Chicago St ,0.444
2005,Duquesne ,0.443
2005,S Utah ,0.443
2005,Dartmouth ,0.443
2005,Stetson ,0.442
2005,Montana St ,0.442
2005,Lg Beach St ,0.441
2005,N Hampshire ,0.441
2005,E Michigan ,0.441
2005,St Fran (NY) ,0.441
2005,Alabama St ,0.441
2005,Morgan St ,0.439
2005,Texas State ,0.439
2005,E Illinois ,0.438
2005,Norfolk St ,0.438
2005,Lafayette ,0.438
2005,Jackson St ,0.437
2005,Cleveland St ,0.435
2005,TX-Arlington ,0.434
2005,W Illinois ,0.434
2005,Columbia ,0.433
2005,San Jose St ,0.433
2005,Sac State ,0.432
2005,High Point ,0.432
2005,Elon ,0.432
2005,E Washingtn ,0.431
2005,Radford ,0.429
2005,Beth-Cook ,0.429
2005,Canisius ,0.428
2005,Coastal Car ,0.427
2005,TX-Pan Am ,0.426
2005,Maryland BC ,0.426
2005,Wm & Mary ,0.426
2005,Idaho ,0.425
2005,Southern ,0.424
2005,Morehead St ,0.423
2005,UC Riverside ,0.421
2005,N Mex State ,0.420
2005,E Tenn St ,0.420
2005,Ste F Austin ,0.420
2005,N Arizona ,0.419
2005,Citadel ,0.415
2005,Siena ,0.414
2005,N Colorado ,0.414
2005,Quinnipiac ,0.412
2005,Hartford ,0.412
2005,Rhode Island ,0.411
2005,Towson ,0.409
2005,Navy ,0.407
2005,TX Southern ,0.407
2005,James Mad ,0.406
2005,TN Martin ,0.397
2005,IPFW ,0.395
2005,Cal Poly ,0.394
2005,W Carolina ,0.393
2005,Idaho State ,0.388
2005,Ark Pine Bl ,0.384
2005,NC A&T ,0.383
2005,St Bonavent ,0.382
2005,Loyola-MD ,0.381
2005,Mt St Marys ,0.381
2005,VA Military ,0.380
2005,LA Monroe ,0.379
2005,Jksnville St ,0.376
2005,Prairie View ,0.375
2005,Campbell ,0.370
2005,Youngs St ,0.367
2005,Howard ,0.366
2005,Centenary ,0.363
2005,Alcorn State ,0.363
2005,Sacred Hrt ,0.361
2005,Nicholls St ,0.360
2005,Army ,0.351
2005,Savannah St ,0.340
2005,Longwood ,0.340
2005,Maryland ES ,0.337
2006,Duke ,0.683
2006,Villanova ,0.673
2006,Connecticut ,0.653
2006,Tennessee ,0.647
2006,Memphis ,0.645
2006,Ohio State ,0.645
2006,Texas ,0.630
2006,N Carolina ,0.629
2006,Illinois ,0.629
2006,Gonzaga ,0.627
2006,LSU ,0.624
2006,Pittsburgh ,0.622
2006,Oklahoma ,0.621
2006,Iowa ,0.620
2006,UCLA ,0.620
2006,Wisconsin ,0.610
2006,Michigan St ,0.608
2006,Arizona ,0.606
2006,Missouri St ,0.603
2006,Nevada ,0.603
2006,Florida ,0.601
2006,Syracuse ,0.601
2006,NC-Wilmgton ,0.599
